17644, -1287, 65, -172, 1.06, 0.00, -0.02, -16127, 768, -8194, 2830
17329, -1235, 196, -217, 0.98, -0.04, 0.13, -15615, 256, -7938, 2863
17517, -1676, 224, -235, 1.00, -0.04, 0.10, -15615, -1537, -8194, 2896
17354, -1443, 176, -186, 1.06, 0.01, -0.04, -17663, -1793, -7170, 2929
16951, -1192, 60, -203, 1.00, -0.02, 0.07, -15871, -2561, -7426, 2963
17068, -1422, 159, -224, 1.04, -0.01, 0.00, -15615, -5121, -8194, 2997
16783, -1179, 54, -164, 1.03, 0.00, 0.02, -15359, -5889, -8962, 3030
4123, -1448, 132, -192, 1.00, -0.03, 0.08, -16639, -5633, -8962, 3063
16583, -1835, 60, -245, 0.99, -0.04, 0.12, -15615, -7681, -8706, 3097
17131, -1059, 59, -195, 0.98, -0.06, 0.14, -15103, -9217, -8706, 3130
14727, -877, 67, -125, 1.00, -0.04, 0.12, -15615, -9985, -8962, 3164
13632, -1401, 84, -207, 1.06, 0.02, -0.05, -14591, -11009, -8450, 3197
12742, -924, 78, -122, 1.02, 0.01, -0.00, -14591, -12545, -7682, 3231
10578, -1636, 74, -267, 1.02, -0.02, 0.07, -15103, -13825, -8706, 3265
10075, -1554, 125, -179, 0.99, -0.05, 0.14, -15615, -15105, -8962, 3298
9551, -1748, 204, -267, 0.99, -0.02, 0.08, -15359, -16897, -8194, 3332
9541, -1365, 153, -212, 1.00, -0.04, 0.12, -15615, -18433, -8194, 3366
9968, -1727, 180, -230, 0.99, -0.03, 0.11, -14335, -19201, -7682, 3400
10269, -1819, 113, -220, 1.01, -0.02, 0.06, -14591, -19969, -7426, 3434
12458, -970, 101, -137, 0.99, -0.07, 0.19, -14847, -21761, -7170, 3468
16729, -851, 77, -166, 1.01, -0.02, 0.07, -13823, -22785, -6658, 3502
17288, -1505, 114, -194, 1.07, -0.03, 0.14, -14847, -23809, -6146, 3536
17922, -938, 171, -211, 1.04, 0.01, 0.02, -14079, -25089, -6658, 3570
19342, -1359, 146, -160, 1.01, 0.00, 0.04, -15871, -25089, -4354, 3604
19049, -1800, 196, -219, 1.02, 0.00, 0.00, -14079, -27649, -5378, 3638
19331, -1132, 145, -188, 0.99, -0.07, 0.18, -14079, -27905, -5122, 3672
19431, -1300, 207, -153, 0.99, -0.04, 0.14, -13055, -30465, -4098, 3706
19592, -884, 91, -170, 1.04, 0.01, 0.00, -16127, -30977, -3842, 3741
19984, -1394, 178, -195, 0.98, -0.06, 0.19, -13055, -31745, -3842, 3774
19896, -1223, 92, -205, 1.00, -0.04, 0.11, -12287, 31999, -2306, 3809
20978, -1411, 141, -182, 0.99, -0.04, 0.14, -13823, 31487, -2050, 3842
20716, -1125, 88, -125, 1.02, -0.00, 0.02, -14335, 31487, -2050, 3876
21480, -1170, 148, -197, 1.00, -0.02, 0.10, -13055, 29695, -1026, 3910
21628, -367, 86, -123, 1.02, -0.02, 0.03, -13567, 28671, -514, 3944
21422, -1370, 160, -167, 0.99, -0.04, 0.14, -12799, 27903, -2, 3977
21203, -826, 55, -120, 1.00, -0.06, 0.15, -13055, 26623, -514, 4010
10543, -1170, 103, -222, 1.04, 0.02, -0.05, -14079, 25599, 1791, 4043
22595, -1695, 136, -223, 1.01, 0.00, 0.02, -12543, 23807, 1535, 4076
22561, -1109, 94, -188, 1.04, 0.00, -0.01, -12543, 24575, 2303, 4110
22625, -1174, 102, -174, 0.99, -0.05, 0.14, -13311, 23295, 4095, 4143
23924, -281, 83, -50, 1.01, -0.00, 0.03, -14847, 22015, 4351, 4126
23276, 22, 158, -25, 1.04, -0.03, 0.09, -12543, 22527, 3839, 4093
22989, 282, 165, -19, 1.00, -0.00, 0.03, -13823, 22783, 4351, 4061
22486, 910, 134, 52, 1.01, -0.02, 0.07, -14847, 23295, 3583, 4029
22817, 1151, 129, 63, 1.03, -0.03, 0.10, -10239, 23807, 2559, 3997
