36277, 950, 150, 117, 1.00, -0.06, 0.15
37402, 987, 143, 66, 1.02, -0.02, 0.04
35380, 1089, 113, 36, 1.00, -0.03, 0.08
36472, 1318, 90, 104, 1.02, 0.00, -0.01
35943, 1601, 113, 126, 0.99, -0.08, 0.20
35756, 1563, 123, 143, 1.00, -0.06, 0.12
35083, 1698, 125, 128, 1.00, -0.04, 0.11
34159, 1231, 112, 62, 1.02, -0.02, 0.04
35538, 1138, 121, 99, 1.02, 0.02, -0.04
34738, 1281, 107, 88, 0.99, -0.09, 0.19
34564, 1973, 71, 143, 1.02, -0.01, 0.04
34097, 1729, 76, 124, 1.00, -0.04, 0.12
31194, 1254, 125, 93, 1.02, 0.00, -0.01
22715, 1111, 101, 135, 1.00, -0.08, 0.17
8694, 1457, 115, 100, 1.02, -0.01, 0.02
8273, 1179, 99, 125, 1.02, -0.02, 0.06
9214, 1447, 115, 135, 1.02, -0.02, 0.03
9201, 1517, 128, 135, 0.99, -0.06, 0.16
7987, 1602, 89, 139, 1.02, 0.01, -0.01
8046, 1265, 115, 118, 1.02, -0.00, 0.02
8508, 1097, 110, 95, 1.01, -0.05, 0.11
8953, 1309, 114, 87, 1.01, -0.03, 0.06
8577, 1219, 127, 85, 1.02, -0.00, 0.01
8343, 1819, 92, 85, 0.98, -0.11, 0.24
7879, 1113, 128, 52, 1.02, 0.00, 0.00
9430, 870, 109, 20, 1.01, -0.04, 0.08
9282, 1178, 117, 124, 1.01, -0.01, 0.03
9174, 1793, 127, 158, 0.98, -0.08, 0.20
8593, 1147, 91, 59, 1.03, 0.04, -0.09
8618, 1117, 146, 50, 1.00, -0.08, 0.17
9272, 1670, 99, 78, 1.02, -0.02, 0.07
9560, 1556, 98, 135, 1.01, -0.03, 0.06
9459, 1826, 114, 131, 0.99, -0.09, 0.20
8965, 1388, 139, 87, 0.99, -0.08, 0.17
8975, 1265, 101, 84, 1.02, 0.00, -0.01
9363, 1013, 121, 46, 1.01, -0.04, 0.10
7975, 1116, 91, 110, 1.01, -0.01, 0.03
10632, 1322, 109, 133, 1.02, 0.01, -0.02
6970, 2264, 95, 174, 1.02, -0.01, 0.02
7855, 1363, 98, 116, 1.00, -0.09, 0.18
6751, 1203, 121, 100, 1.02, 0.00, 0.00
6175, 1299, 145, 78, 1.01, -0.02, 0.02
9677, 2147, 65, 235, 0.98, -0.11, 0.25
16238, 1602, 128, 90, 1.00, -0.08, 0.16
34595, 1423, 118, 100, 1.02, 0.00, -0.00
38123, 1160, 114, 64, 1.01, -0.04, 0.10
37266, 1862, 117, 90, 1.00, -0.06, 0.14
