40477, -1242, 141, -146, 1.01, -0.01, 0.05, -15615, 16639, -28672, 3463
42959, -1271, 131, -170, 1.02, 0.00, 0.00, -16127, 17151, -27904, 3498
43458, -1693, 126, -207, 1.01, -0.03, 0.08, -15359, 18431, -26368, 3531
44788, -1378, 140, -180, 1.02, -0.01, 0.04, -19199, 19711, -24832, 3565
46373, -1124, 121, -176, 1.00, -0.07, 0.16, -15871, 20223, -25600, 3600
48095, -1305, 137, -183, 1.01, -0.05, 0.12, -15871, 19711, -25600, 3634
50740, -1225, 135, -113, 1.00, -0.07, 0.17, -16127, 21247, -23040, 3669
53495, -1740, 181, -197, 1.00, -0.04, 0.09, -18687, 23295, -22016, 3703
17551, -1277, 135, -189, 1.01, -0.02, 0.08, -16639, 23295, -22784, 3738
18946, -876, 157, -122, 1.00, -0.08, 0.18, -16639, 25343, -20480, 3772
23879, -1814, 161, -222, 1.00, -0.04, 0.09, -15871, 25599, -20224, 3806
28808, -1157, 139, -208, 1.00, -0.06, 0.16, -17407, 26367, -19200, 3841
35060, -1474, 149, -207, 1.01, -0.04, 0.10, -17151, 27135, -17920, 3875
45727, -893, 150, -140, 1.01, -0.04, 0.10, -17151, 27903, -17664, 3910
47427, -1242, 155, -140, 1.01, -0.03, 0.08, -16639, 28415, -17664, 3944
51235, -1082, 114, -141, 1.02, 0.00, 0.02, -16895, 29951, -16640, 3978
30704, -757, 121, -106, 1.00, -0.04, 0.12, -18943, 30975, -15360, 4012
7495, -1157, 153, -191, 1.02, 0.03, -0.06, -16895, 31487, -15872, 4046
6577, -1593, 144, -218, 1.02, 0.00, 0.01, -16639, 32511, -14592, 4080
